Summary,Issue Type,Priority,Description,Epic Name,Epic Link
프로젝트 환경 설정,Epic,Medium,config / .env / requirements 구성 및 패키지 설치,EP-01 프로젝트 환경 설정,
지식 베이스 구축,Epic,Medium,챗봇과 평가자가 참조하는 기준 정보 작성,EP-02 지식 베이스 구축,
테스트케이스 설계,Epic,Medium,Happy / Edge / Negative 유형 테스트케이스 작성,EP-03 테스트케이스 설계,
Service Agent 개발,Epic,High,OpenAI API 연동 교육과정 안내 챗봇 구현,EP-04 Service Agent 개발,
규칙 검증 모듈 개발,Epic,Medium,AI 평가 전 키워드 기반 1차 검증 구현,EP-05 규칙 검증 모듈 개발,
Judge Agent 개발,Epic,High,정확성·근거성·유용성·안전성 4항목 AI 채점 구현,EP-06 Judge Agent 개발,
리포트 생성 모듈 개발,Epic,Medium,JSON / CSV / Markdown 3종 자동 리포트 생성,EP-07 리포트 생성 모듈 개발,
파이프라인 통합,Epic,High,전체 모듈을 연결하는 main.py 구현 및 End-to-End 테스트,EP-08 파이프라인 통합,
대시보드 개발,Epic,Medium,Streamlit 기반 평가 결과 시각화 대시보드 구현,EP-09 대시보드 개발,
버그 관리,Epic,High,파이프라인 실행 중 발견된 버그 등록 및 추적 관리,EP-10 버그 관리,
요청사항 관리,Epic,Medium,기능 추가 및 변경 요청 등록 및 관리,EP-11 요청사항 관리,
프로젝트 폴더 구조 생성,Task,Medium,"ai_quality_final_project/ 하위 data/ reports/ dashboard/ 폴더 생성",,EP-01 프로젝트 환경 설정
requirements.txt 작성,Task,Medium,"openai, python-dotenv, pandas, streamlit 의존성 명세",,EP-01 프로젝트 환경 설정
.env 파일 설정 및 API Key 연결,Task,High,최상위 d:\2_qaeduc\.env 참조하도록 설정,,EP-01 프로젝트 환경 설정
config.py 작성,Task,High,BASE_DIR / DATA_DIR / REPORTS_DIR 경로 및 모델명 중앙 관리,,EP-01 프로젝트 환경 설정
가상환경 구성 및 패키지 설치 확인,Task,Medium,pip install -r requirements.txt 실행 후 임포트 정상 확인,,EP-01 프로젝트 환경 설정
교육과정 기준 정보 수집 및 정리,Task,High,"총 교육시간, 출결 규정, 수료 기준, 취업지원, 안내 범위 항목 정리",,EP-02 지식 베이스 구축
knowledge_base.py 작성,Task,High,get_knowledge() 함수로 기준 정보 문자열 반환 구현,,EP-02 지식 베이스 구축
기준 정보 항목 검토 및 보완,Task,Medium,누락된 안내 항목 없는지 검토 후 추가,,EP-02 지식 베이스 구축
knowledge_base 단독 동작 테스트,Task,Low,python -c 로 get_knowledge() 출력 확인,,EP-02 지식 베이스 구축
테스트 유형 정의,Task,Medium,Happy / Edge / Negative 각 유형 기준 정의,,EP-03 테스트케이스 설계
Happy 케이스 4개 작성,Task,High,"TC-001 교육시간, TC-002 출결, TC-003 수료, TC-004 취업지원",,EP-03 테스트케이스 설계
Edge 케이스 2개 작성,Task,High,"TC-005 문서 외 질문, TC-007 복합 질문",,EP-03 테스트케이스 설계
Negative 케이스 1개 작성,Task,High,TC-006 위험 요청 거절 확인,,EP-03 테스트케이스 설계
test_cases.json 스키마 확정 및 저장,Task,Medium,"case_id / category / test_type / user_question / expected_keyword / expected_policy 필드 확정",,EP-03 테스트케이스 설계
OpenAI API 연결 및 인증 확인,Task,High,API Key 로딩 후 단순 호출 테스트,,EP-04 Service Agent 개발
시스템 프롬프트 설계,Task,High,knowledge_base 내용을 시스템 프롬프트에 주입하는 구조 설계,,EP-04 Service Agent 개발
get_answer() 함수 구현,Task,High,사용자 질문 입력 → OpenAI API 호출 → 답변 반환,,EP-04 Service Agent 개발
정상 질문 응답 테스트,Task,Medium,Happy 케이스 질문으로 단독 실행 후 응답 확인,,EP-04 Service Agent 개발
범위 외 질문 거절 동작 확인,Task,Medium,날씨 등 교육과정 외 질문 시 안내 문구 반환 확인,,EP-04 Service Agent 개발
위험 요청 거절 동작 확인,Task,High,TC-006 질문으로 안전 거절 문구 반환 확인,,EP-04 Service Agent 개발
validate() 함수 구현,Task,Medium,expected_keyword 포함 여부 True/False 판정,,EP-05 규칙 검증 모듈 개발
PASS/FAIL 판정 및 reason 반환 구현,Task,Medium,"keyword_found / rule_status / rule_reason 딕셔너리 반환",,EP-05 규칙 검증 모듈 개발
규칙 검증 단독 유닛 테스트,Task,Low,다양한 입력값으로 PASS/FAIL 결과 확인,,EP-05 규칙 검증 모듈 개발
평가 항목 4개 정의,Task,Medium,"accuracy / groundedness / helpfulness / safety 배점 기준 문서화",,EP-06 Judge Agent 개발
Judge 시스템 프롬프트 작성,Task,High,채점 기준과 JSON 응답 형식 지정,,EP-06 Judge Agent 개발
evaluate() 함수 구현,Task,High,사용자 질문 + 챗봇 답변 → OpenAI API → JSON 채점 결과 반환,,EP-06 Judge Agent 개발
response_format json_object 적용,Task,Medium,Structured Output 방식으로 JSON 파싱 안정성 확보,,EP-06 Judge Agent 개발
PASS/REVIEW/FAIL 판정 로직 확인,Task,Medium,평균 점수 기준 판정 결과 샘플 검토,,EP-06 Judge Agent 개발
save_json() 구현,Task,Medium,전체 평가 결과 JSON 저장,,EP-07 리포트 생성 모듈 개발
