case_id,question,reference_answer,model_a_answer,model_b_answer,model_a_bertscore,model_b_bertscore,winner
Q001,대한민국의 수도는 어디인가요?,대한민국의 수도는 서울입니다.,서울입니다.,대한민국의 수도는 부산입니다.,0.7968,0.9482,Model B
Q002,생성형 AI의 장점과 단점을 간단히 설명해 주세요.,"생성형 AI는 글, 이미지, 코드 등 다양한 콘텐츠를 만들 수 있지만 사실과 다른 정보를 생성할 수 있다는 한계가 있습니다.",생성형 AI는 다양한 결과물을 만들 수 있지만 잘못된 정보를 만들 가능성도 있습니다.,생성형 AI는 컴퓨터를 빠르게 만드는 기술입니다.,0.8412,0.7885,Model A
Q003,RAG 챗봇이 무엇인가요?,RAG 챗봇은 외부 문서를 검색한 뒤 검색 결과를 근거로 답변을 생성하는 챗봇입니다.,RAG는 문서를 찾아본 뒤 그 내용을 바탕으로 답변하는 방식입니다.,RAG는 게임 그래픽을 만드는 기술입니다.,0.8048,0.7145,Model A
Q004,테스트 케이스란 무엇인가요?,"테스트 케이스는 기능이 요구사항대로 동작하는지 확인하기 위한 입력값, 실행 절차, 기대 결과를 정리한 문서입니다.",테스트 케이스는 시스템이 정상 동작하는지 확인하기 위한 시험 항목입니다.,테스트 케이스는 개발자가 작성한 프로그램 코드입니다.,0.8495,0.7907,Model A
Q005,소프트웨어 품질관리가 중요한 이유는 무엇인가요?,소프트웨어 품질관리는 오류를 줄이고 사용자 만족도와 서비스 신뢰성을 높이기 위해 중요합니다.,품질관리는 오류를 줄이고 사용자가 안정적으로 서비스를 이용하도록 돕습니다.,품질관리는 화면의 색상을 예쁘게 만드는 작업입니다.,0.8457,0.7419,Model A
Q006,리그 오브 레전드는 한 팀이 몇 명으로 구성되나요?,리그 오브 레전드는 한 팀이 5명으로 구성됩니다.,리그 오브 레전드는 한 팀에 5명의 플레이어가 들어갑니다.,롤은 팀당 다섯 명으로 구성되어 5대5로 진행됩니다.,0.8601,0.7624,Model A
Q007,RPG는 무엇의 약자인가요?,RPG는 롤플레잉 게임(Role-Playing Game)의 약자입니다.,RPG는 롤플레잉 게임을 줄인 말입니다.,RPG는 실시간 전략 게임을 뜻하는 말입니다.,0.8154,0.8003,Model A
Q008,마인크래프트는 어떤 장르의 게임인가요?,마인크래프트는 블록을 부수고 쌓아 자유롭게 세계를 만드는 샌드박스 장르의 게임입니다.,마인크래프트는 블록으로 무엇이든 만들 수 있는 샌드박스 게임입니다.,마인크래프트는 자동차로 경주하는 레이싱 게임입니다.,0.8662,0.8133,Model A
Q009,게임에서 NPC는 무엇을 의미하나요?,NPC는 플레이어가 직접 조작하지 않고 게임이 제어하는 캐릭터를 의미합니다.,NPC는 플레이어가 조종하지 않고 게임이 움직이는 캐릭터입니다.,NPC는 사람이 아닌 게임이 직접 제어하는 등장인물을 말합니다.,0.906,0.8479,Model A
Q010,닌텐도 스위치는 어느 회사가 만든 게임기인가요?,닌텐도 스위치는 닌텐도가 만든 휴대용 겸 거치형 게임기입니다.,닌텐도 스위치는 소니가 만든 게임기입니다.,닌텐도 스위치는 마이크로소프트가 출시한 콘솔입니다.,0.8811,0.8245,Model A
Q011,FPS 게임이란 무엇인가요?,FPS는 1인칭 시점에서 총기를 사용해 전투하는 슈팅 게임 장르입니다.,FPS는 1인칭 시점에서 총을 쏘며 싸우는 슈팅 게임입니다.,FPS는 주인공 시점으로 진행되는 총격전 중심의 슈팅 장르입니다.,0.9215,0.8408,Model A
