case_id,category,test_type,model_type,user_question,ai_answer,rule_status,accuracy_score,groundedness_score,helpfulness_score,safety_score,understandability_score,total_score,overall_decision,summary
TC-001,정확성,Happy,rule_based,이 교육과정은 총 몇 시간인가요?,AI 기반 SW 테스터 및 품질관리 실무 과정은 총 320시간으로 구성되어 있습니다.,PASS,5,5,4,5,5,24,PASS,"챗봇 답변은 사용자의 질문에 대해 정확하고 근거 있는 정보를 안전하고 명료하게 제공함. 다만, 유용성 측면에서 약간의 추가 정보 제공이 아쉬우나 전반적으로 매우 우수한 답변임."
TC-001,정확성,Happy,api_based,이 교육과정은 총 몇 시간인가요?,AI 기반 SW 테스터 및 품질관리 실무 과정의 총 교육시간은 320시간입니다.,PASS,5,5,4,5,5,24,PASS,"답변은 질문 의도에 정확히 부합하며 교육과정의 총 교육시간을 사실에 기반해 명확하게 안내함. 추가 정보 제공 측면에서 다소 아쉬움이 있으나, 안전성과 이해성 모두 우수하여 전반적으로 매우 좋은 품질의 답변이라 평가함."
TC-002,정확성,Happy,rule_based,하루에 몇 시간씩 수업이 진행되나요?,죄송합니다. 제공된 교육과정 안내 정보에서 해당 내용을 확인할 수 없습니다. 운영 담당자에게 문의해 주세요.,FAIL,3,5,4,5,5,22,PASS,"질문에 대한 직접 답변 부재로 정확성은 낮으나, 근거 기반의 정직한 답변과 적절한 문의 대안 제시로 도움을 주려는 노력이 보임. 안전성과 이해성은 매우 우수함. 다만 추가 정보 안내가 보완된다면 더욱 유용할 것임."
TC-002,정확성,Happy,api_based,하루에 몇 시간씩 수업이 진행되나요?,하루 수업 시간에 대한 정보는 제공된 내용에 없습니다. 교육과정과 관련된 다른 질문이 있으시면 알려주세요.,FAIL,3,5,3,5,5,21,PASS,"질문에 명확한 수업 시간 안내를 제공하지는 못했으나, 근거 있는 사실 전달과 안전하고 이해하기 쉬운 답변을 했음. 사용자에게 추가 질문 가능성을 열어둔 점에서 유용성 보완됨. 전반적으로 기준에 부합하여 PASS 판정."
TC-003,정확성,Happy,rule_based,수업 시작 시간과 종료 시간을 알려주세요.,죄송합니다. 제공된 교육과정 안내 정보에서 해당 내용을 확인할 수 없습니다. 운영 담당자에게 문의해 주세요.,FAIL,4,5,4,5,5,23,PASS,"챗봇 답변은 교육과정 내 정보 부재로 인한 답변 거절을 정확하고 근거있게 안내하였으며, 운영 담당자 문의라는 실질적 대안도 제공함으로써 유용성 측면에서도 우수하다. 문장 구성도 명확해 전반적으로 높은 품질을 보여 PASS 판정을 받음."
TC-003,정확성,Happy,api_based,수업 시작 시간과 종료 시간을 알려주세요.,"죄송하지만, 수업 시작 시간과 종료 시간에 대한 정보는 제공된 교육과정 안내에 포함되어 있지 않습니다.",FAIL,4,5,2,5,5,21,PASS,"질문에 왜곡된 정보 없이 교육과정 안내에 기반해 정확히 응답하였고 문장 표현도 자연스러우나, 정보 부재 시 사용자를 위한 대안 제시가 없어 유용성에서 점수가 다소 낮게 평가됨. 전반적으로 품질이 우수하여 PASS 판정."
TC-004,정확성,Happy,rule_based,이 과정의 전체 공식 명칭이 무엇인가요?,죄송합니다. 제공된 교육과정 안내 정보에서 해당 내용을 확인할 수 없습니다. 운영 담당자에게 문의해 주세요.,FAIL,4,5,4,5,5,23,PASS,"질문에 대한 명확한 공식 명칭 안내가 불가능하여 직접 답변하지 못했으나, 정확하고 근거 기반이며 안전한 태도로 문의처를 안내해 사용자가 다음 단계를 이해할 수 있도록 돕고 있음. 가독성도 좋아 종합적으로 양호한 답변으로 평가됨."
TC-004,정확성,Happy,api_based,이 과정의 전체 공식 명칭이 무엇인가요?,"이 과정의 전체 공식 명칭은 ""AI 기반 SW 테스터 및 품질관리 실무 과정""입니다.",PASS,5,5,4,5,5,24,PASS,"챗봇 답변은 질문에 대해 정확하고 근거 기반으로 공식 명칭을 명확히 안내하였으며, 안전하고 이해하기 쉬운 문장으로 작성됨. 다만, 실질적인 유용성 측면에서 추가 정보 제공이 부족해 완벽한 도움을 주기엔 다소 아쉬운 점이 있으나 전반적으로 매우 우수한 답변임."
TC-005,정확성,Edge,rule_based,총 훈련 시간이 300시간인가요?,죄송합니다. 제공된 교육과정 안내 정보에서 해당 내용을 확인할 수 없습니다. 운영 담당자에게 문의해 주세요.,FAIL,4,5,4,5,5,23,PASS,"해당 답변은 정확한 근거를 바탕으로 질문에 대해 왜곡 없이 대응하였고, 안전하고 명료한 문장으로 작성되어 이해하기 쉬움. 직접적인 시간 정보는 제공하지 못했으나, 운영 담당자 문의라는 적절한 대안을 안내함으로써 실질적인 도움을 제공하여 품질기준에 부합함."
TC-005,정확성,Edge,api_based,총 훈련 시간이 300시간인가요?,총 교육시간은 320시간입니다. 300시간이 아니니 참고해 주세요.,PASS,5,5,4,5,4,23,PASS,챗봇 답변은 총 교육시간에 대해 정확하고 근거 있는 정보를 정확히 교정하여 신뢰할 수 있다. 다만 추가 안내나 가독성 측면에서 개선 여지가 있어 점수를 4점으로 조정했지만 전반적으로 사용자 질문에 적절히 대응하여 우수한 품질을 보인다.
TC-006,출결,Happy,rule_based,지각을 세 번 하면 어떻게 되나요?,지각 3회는 결석 1일로 처리됩니다.,PASS,5,5,4,5,5,24,PASS,"답변이 교육 정책 내용과 완벽히 부합하며 정확하고 근거가 명확하다. 다만, 사용자의 추가 문의를 대비한 상세 안내가 있었으면 더욱 유용했을 것이다."
TC-006,출결,Happy,api_based,지각을 세 번 하면 어떻게 되나요?,지각 3회는 결석 1일로 처리됩니다. 따라서 지각 3번이 쌓이면 결석 1일이 된 것으로 간주되어 출결에 영향이 있습니다.,PASS,5,5,4,5,4,23,PASS,"답변은 정확하고 근거에 기반하며, 기본적인 사용자의 질문 의도를 잘 충족함. 다만 추가 안내나 가독성 측면에서 약간의 개선 여지가 있음."
TC-007,출결,Happy,rule_based,늦잠 자서 지각을 3번 넘게 했는데 감점이 큰가요?,지각 3회는 결석 1일로 처리됩니다.,PASS,5,5,3,5,5,23,PASS,"답변은 정확하고 근거에 부합하며 안전하고 명료하다. 다만, 사용자의 추가 궁금증 해소와 실질적 유용성 측면에서 다소 보완 필요하나, 기준점 이상으로 우수한 답변임."
TC-007,출결,Happy,api_based,늦잠 자서 지각을 3번 넘게 했는데 감점이 큰가요?,"지각 3회는 결석 1일로 처리되어 출결에 영향을 미칩니다. 수료하려면 전체 훈련시간의 80% 이상 출석해야 하므로, 지각 관리에 유의하셔야 합니다.",PASS,5,5,4,5,5,24,PASS,"답변이 정확하고 근거 기반이며, 안전하고 이해하기 쉬운 문장으로 작성됨. 다만, 사용자 편의성을 높이기 위한 추가 안내가 보완되면 더욱 완성도 높은 답변이 될 수 있음."
TC-008,출결,Happy,rule_based,아파서 병원 가느라 빠지는 건 무단결석인가요?,죄송합니다. 제공된 교육과정 안내 정보에서 해당 내용을 확인할 수 없습니다. 운영 담당자에게 문의해 주세요.,FAIL,2,4,2,5,4,17,REVIEW,"챗봇 답변은 질문에 대한 직접적인 정보 제공이 부족하고, 교육과정 내 증빙 서류 제출 관련 안내를 포함하지 않아 정확성과 유용성이 낮음. 다만 거짓 정보나 부적절한 내용 없이 안전하며 문장은 이해하기 쉬움. 보다 구체적인 정책 안내와 대안 제시가 필요함."
TC-008,출결,Happy,api_based,아파서 병원 가느라 빠지는 건 무단결석인가요?,"제공된 교육과정 정보에는 병원 방문으로 인한 결석에 대한 별도 규정이 없으므로, 무단결석 여부는 안내해 드릴 수 없습니다. 자세한 사항은 교육 담당자에게 문의하시기 바랍니다.",FAIL,3,5,3,5,4,20,PASS,"답변은 교육과정 내 근거를 기반으로 안전하게 작성되었으나, 사용자 질문에 대한 구체적이고 유용한 정보 제공 측면에서 다소 아쉬운 점이 있음. 특히 기대 정책인 '증빙 서류 제출 시 인정결석 처리' 관련 안내 누락으로 정확성이 나빠진 점 개선 필요. 이해성은 무난하나 가독성 향상 요소 추가를 권장함."
TC-009,출결,Happy,rule_based,진단서를 제출하면 결석 처리가 안 되나요?,죄송합니다. 제공된 교육과정 안내 정보에서 해당 내용을 확인할 수 없습니다. 운영 담당자에게 문의해 주세요.,FAIL,2,5,3,5,4,19,REVIEW,"답변은 교육과정 안내 정보에 충실하며 안전한 톤을 유지하였으나, 핵심 질문에 대한 구체적 정보 제공이 부족하여 정확성 및 유용성에서 아쉬움이 있음. 사용자가 추가 문의를 해야 하는 번거로움이 있어 REVIEW 단계임."
TC-009,출결,Happy,api_based,진단서를 제출하면 결석 처리가 안 되나요?,제공된 교육과정 정보에는 진단서 제출에 따른 결석 처리 관련 내용이 포함되어 있지 않습니다. 출결 관련 세부 규정은 별도로 확인해 주시기 바랍니다.,FAIL,3,5,2,5,4,19,REVIEW,"챗봇 답변은 교육과정 정보 내에 관련 내용이 없음을 분명히 전달하며 근거성은 매우 높으나, 사용자 질문 의도에 부합하는 인정결석 제도에 대한 구체적 안내가 없어 유용성이 낮음. 이해성은 무난하나 다소 간결하여 다소 아쉬움."
TC-010,출결,Edge,rule_based,조퇴나 외출도 지각처럼 누적되면 불이익이 있나요?,지각 3회는 결석 1일로 처리됩니다.,PASS,2,3,2,5,4,16,REVIEW,"답변은 지각 누적에 관한 부분만 일부 정확히 안내했으나, 조퇴 및 외출에 대해서는 전혀 설명이 없어 사용자 의도에 부합하지 않고 근거 문서 활용도도 부족함. 안전하고 이해는 쉬우나 유용성 측면에서 보완이 필요함."
TC-010,출결,Edge,api_based,조퇴나 외출도 지각처럼 누적되면 불이익이 있나요?,제공된 교육과정 정보에는 조퇴나 외출에 대한 출결 규정 언급이 없습니다. 지각 규정은 지각 3회가 결석 1일로 처리된다고만 안내되어 있습니다. 더 자세한 사항은 담당자에게 문의해주시기 바랍니다.,PASS,4,5,4,5,4,22,PASS,"챗봇은 교육과정 내 정보에 기반해 정확하고 안전한 답변을 제공했으며, 문의처 안내로 사용자의 문제 해결을 도운 점이 우수하다. 다만 조퇴·외출 누적 규정에 대해 보다 구체적인 설명이나 직접적인 답변이 부족하고, 가독성 측면에서 추가 개선의 여지가 있어 일부 아쉬움이 있다."
TC-011,수료,Happy,rule_based,수료하려면 출석률이 몇 퍼센트 이상이어야 하나요?,전체 훈련시간의 80퍼센트 이상 출석해야 수료할 수 있습니다. 또한 최종 프로젝트 결과물과 발표 평가를 완료해야 합니다.,PASS,5,5,4,5,4,23,PASS,"챗봇 답변은 전체 훈련시간 80% 이상 출석 요건을 정확히 전달하고 수료 조건도 보완 설명하여 정확성과 근거성에서 높은 점수를 받음. 안전하고 이해하기 쉽지만, 추가 참고정보나 포맷 활용이 보완되면 더욱 유용할 것임. 전반적으로 사용자 질문에 대해 신뢰할 만하고 충분히 도움 되는 응답이다."
TC-011,수료,Happy,api_based,수료하려면 출석률이 몇 퍼센트 이상이어야 하나요?,"수료하려면 전체 훈련시간의 80퍼센트 이상 출석해야 합니다. 즉, 320시간 기준으로 최소 256시간 이상 출석해야 수료할 수 있습니다.",PASS,5,5,4,5,5,24,PASS,"답변은 정확하고 근거에 충실하며 안전하고 이해하기 쉽게 작성되었음. 다만, 사용자의 추가 확인 편의를 위해 더 상세한 부가 정보 제공 시 완성도가 더욱 향상될 수 있음."
TC-012,수료,Happy,rule_based,출석만 잘하면 무조건 수료증이 나오나요?,전체 훈련시간의 80퍼센트 이상 출석해야 수료할 수 있습니다. 또한 최종 프로젝트 결과물과 발표 평가를 완료해야 합니다.,FAIL,5,5,5,5,5,25,PASS,"챗봇 답변은 사용자의 질문에 대해 교육과정 기준을 정확하고 근거 있게 안내하였으며, 실질적인 도움을 제공하고 안전하고 이해하기 쉽게 작성되었음. 평균 점수 5점으로 매우 우수한 품질의 답변임."
TC-012,수료,Happy,api_based,출석만 잘하면 무조건 수료증이 나오나요?,"출석 기준은 전체 훈련시간의 80% 이상이어야 하지만, 수료를 위해서는 최종 프로젝트 결과물과 발표 평가도 완료해야 합니다. 따라서 출석만 잘한다고 해서 무조건 수료증이 나오는 것은 아닙니다.",FAIL,5,5,4,5,5,24,PASS,"출석 기준과 수료 조건을 명확하고 정확하게 전달하여 정책 요구사항에 충실히 부응한 우수한 답변이다. 다만, 추가 정보를 제공하면 더 유용할 수 있으나 해당 답변만으로도 충분히 신뢰할만한 안내임."
TC-013,수료,Happy,rule_based,수행평가는 몇 점을 맞아야 합격인가요?,죄송합니다. 제공된 교육과정 안내 정보에서 해당 내용을 확인할 수 없습니다. 운영 담당자에게 문의해 주세요.,FAIL,1,5,2,5,5,18,REVIEW,"답변은 교육과정 안내에 근거하여 작성되어 신뢰성은 있으나, 질문에 대한 명확한 합격 기준 정보를 제공하지 못해 정확성과 유용성이 매우 낮음. 고객 편의를 위한 추가 안내나 보완이 필요함."
TC-013,수료,Happy,api_based,수행평가는 몇 점을 맞아야 합격인가요?,제공된 교육과정 정보에는 수행평가(프로젝트 평가)에서 몇 점을 받아야 합격하는지에 대한 내용이 없습니다. 최종 프로젝트 결과물과 발표 평가를 완료해야 한다는 점만 안내되어 있습니다. 더 궁금한 점 있으면 알려주세요.,FAIL,2,5,2,5,4,18,REVIEW,"챗봇 답변은 근거 문서 내에서 작성되어 안전하고 전반적으로 이해하기 쉽지만, 핵심 질문에 대해 정확한 점수 기준 안내를 하지 못해 정보 제공에 미흡함. 사용자 의도 해결 측면에서 보완 필요."
TC-014,수료,Edge,rule_based,시험에서 50점을 받으면 수료를 못 하나요?,전체 훈련시간의 80퍼센트 이상 출석해야 수료할 수 있습니다. 또한 최종 프로젝트 결과물과 발표 평가를 완료해야 합니다.,FAIL,2,3,2,5,4,16,REVIEW,"답변이 안전하고 문장 자체는 자연스럽지만, 사용자의 핵심 질문인 시험 점수로 인한 수료 여부에 대해 정확한 정보를 주지 못하고 있으며, 근거 기반 정보 활용도 일부 미흡하다. 유용성 또한 낮아 개선이 필요하다."
TC-014,수료,Edge,api_based,시험에서 50점을 받으면 수료를 못 하나요?,시험 점수에 대한 정보는 제공된 교육과정 안내에 포함되어 있지 않습니다. 수료 기준은 전체 훈련시간의 80% 이상 출석과 최종 프로젝트 결과물 및 발표 평가 완료입니다. 추가 시험 관련 사항은 별도로 확인해 주시기 바랍니다.,FAIL,3,4,3,5,4,19,REVIEW,"답변이 주어진 교육 과정 정보에 기반해 출석과 프로젝트 중심 수료 기준을 안내하였으나, 시험 점수 영향에 관한 핵심 질문에 명확히 답하지 못함. 안전하고 이해하기 쉬운 문장으로 작성되었으나, 추가 확인 권유만으로 사용자가 답답함을 느낄 수 있어 개선 필요."
TC-015,수료,Edge,rule_based,출석률 79%이면 수료가 아예 불가능한가요?,전체 훈련시간의 80퍼센트 이상 출석해야 수료할 수 있습니다. 또한 최종 프로젝트 결과물과 발표 평가를 완료해야 합니다.,PASS,5,5,4,5,5,24,PASS,챗봇 답변은 출석률 수료 기준을 정확히 제시하고 정책에 충실하며 안전하고 이해하기 쉬운 문장으로 작성됨. 다만 출석률 79%가 수료 불가능한지에 대한 명확한 긍정·부정 답변과 추가 안내가 제공되면 더욱 완벽할 것임.
